"Step","stoic-sweep-10 - global_step","stoic-sweep-10 - global_step__MIN","stoic-sweep-10 - global_step__MAX","wobbly-sweep-9 - global_step","wobbly-sweep-9 - global_step__MIN","wobbly-sweep-9 - global_step__MAX","different-sweep-8 - global_step","different-sweep-8 - global_step__MIN","different-sweep-8 - global_step__MAX","fresh-sweep-7 - global_step","fresh-sweep-7 - global_step__MIN","fresh-sweep-7 - global_step__MAX","vague-sweep-6 - global_step","vague-sweep-6 - global_step__MIN","vague-sweep-6 - global_step__MAX","autumn-sweep-5 - global_step","autumn-sweep-5 - global_step__MIN","autumn-sweep-5 - global_step__MAX","peachy-sweep-4 - global_step","peachy-sweep-4 - global_step__MIN","peachy-sweep-4 - global_step__MAX","resilient-sweep-3 - global_step","resilient-sweep-3 - global_step__MIN","resilient-sweep-3 - global_step__MAX","crimson-sweep-2 - global_step","crimson-sweep-2 - global_step__MIN","crimson-sweep-2 - global_step__MAX","legendary-sweep-1 - global_step","legendary-sweep-1 - global_step__MIN","legendary-sweep-1 - global_step__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","","","","","","","","","","","","","","","","","","","","","","","","","","","","704","704","704"
"29","1407","1407","1407","1407","1407","1407","1407","1407","1407","1407","1407","1407","1407","1407","1407","1407","1407","1407","1407","1407","1407","1407","1407","1407","1407","1407","1407","","",""
"32","","","","","","","","","","","","","","","","","","","","","","","","","","","","1408","1408","1408"
"49","","","","","","","","","","","","","","","","","","","","","","","","","","","","2112","2112","2112"
"60","2814","2814","2814","2814","2814","2814","2814","2814","2814","2814","2814","2814","2814","2814","2814","2814","2814","2814","2814","2814","2814","2814","2814","2814","2814","2814","2814","","",""
"66","","","","","","","","","","","","","","","","","","","","","","","","","","","","2816","2816","2816"
"91","4221","4221","4221","4221","4221","4221","4221","4221","4221","4221","4221","4221","4221","4221","4221","4221","4221","4221","4221","4221","4221","4221","4221","4221","4221","4221","4221","","",""
"122","5628","5628","5628","5628","5628","5628","5628","5628","5628","5628","5628","5628","5628","5628","5628","5628","5628","5628","5628","5628","5628","5628","5628","5628","5628","5628","5628","","",""
"153","7035","7035","7035","7035","7035","7035","7035","7035","7035","7035","7035","7035","7035","7035","7035","7035","7035","7035","7035","7035","7035","","","","7035","7035","7035","","",""